"name","price","model","mileage"
"ام","889934592","1395","15000"
"اپتیما","2050000000","1394","56000"
"کپچر","830000000","1395","80000"
"NX","905032704","1394","33000"
"کاین","494967296","1388","125000"
"کاین","1589934592","1390","69700"
"i20","900000000","1393","58000"
"207","530000000","1399","55000"
"تندر","320000000","1391","150000"
"جنسیس","1894967296","1390","92000"
"سراتو","1630000000","1395","56000"
"پارس","395000000","1397","107000"
"رونیز","720000000","1387","170000"
"جوک","1680000000","1395","26000"
"ام","1089934592","1395","6000"
"کلاس","205032704","1386","183000"
"کلاس","89934592","1395","0"
"اس،","944967296","1396","48000"
"گلف","244967296","1396","0"
"ام","1144967296","1392","86000"
"پارس","530000000","1399","0"
"ام","1555032704","1391","56000"
"206","310000000","1395","68000"
"پاترول","275000000","1376","195000"
"LX","300000000","1396","81000"
"NX","355032704","1395","59000"
"206","292000000","1396","60000"
"فنگ،","520000000","1398","12000"
"مگان","337000000","1384","231000"
"سراتو","960000000","1396","116000"
"کلاس","94967296","1392","65000"
"NX","105032704","1394","106000"
"206","250000000","1390","200000"
"تیگوان","194967296","1396","23000"
"S7","895000000","1396","45000"
"پارس","260000000","1392","65000"
"سول","1000000000","1391","95000"
"سوناتا","794967296","1396","19000"
"H330","475000000","1396","46000"
"ام","105032704","1395","98000"
"S7","1010000000","1399","14000"
"206","280000000","1395","83000"
"207","490000000","1397","40000"
"وراکروز","1700000000","1388","330000"
"V40","1600000000","1392","98000"
"اپتیما","830000000","1388","230000"
"ام","605032704","1393","50000"
"ساندرو","685000000","1397","18500"
"ریو","140000000","1387","198000"
"2008","1500000000","1398","39000"
"NX","755032704","1395","70000"
"3","990000000","1390","60000"
"جی","420000000","1394","115000"
"اتوماتیک","680000000","1401","0"
"i20","1080000000","1396","44000"
"اس،","2050000000","1396","60000"
"سوناتا","1750000000","1393","120000"
"111","173000000","1396","103000"
"ام","1544967296","1392","120000"
"ماکسیما","900000000","1389","198000"
"2","819000000","1401","0"
"پارس","400000000","1398","76000"
"ام","1794967296","1391","140000"
"207","440000000","1401","13000"
"توسان","2014967296","1395","75000"
"توسان","2044967296","1395","75000"
"جنسیس","1900000000","1391","200000"
"206","325000000","1400","15000"
"206","168000000","1386","370000"
"دوگانه","199000000","1398","59000"
"کاین","1244967296","1388","130000"
"S5","775000000","1395","76000"
"207","340000000","1390","180000"
"توسان","1294967296","1395","0"
"سراتو","1200000000","1397","58000"
"جوک","1400000000","1395","110000"
"S5","1000000000","1401","0"
"سراتو","1690000000","1395","50000"
"سراتو","1280000000","1398","50000"
"تونلند","1040000000","1400","17000"
"تونلند","890000000","1399","60000"
"پاجرو","1250000000","1386","240000"
"207","540000000","1401","0"
"تالیسمان","1994967296","1395","65000"
"206","208000000","1390","133000"
"پارس","395000000","1399","40000"
"سراتو","1465000000","1398","0"
"سورنتو","1944967296","1391","157000"
"206","265000000","1396","100000"
"3","1300000000","1395","85000"
"111","110000000","1390","160000"
"سورنتو","2004967296","1391","186000"
"ساندرو","580000000","1396","35000"
"سوناتا","1470000000","1393","108000"
"111","125000000","1390","200000"
"ساندرو","585000000","1397","50000"
"سانتافه","2080000000","1394","233000"
"وی","933000000","1401","0"
"اوتلندر","1574967296","1396","100000"
"GS","1244967296","1392","112000"
"ساندرو","630000000","1397","62600"
"اسپورتیج","850000000","1388","250000"
"ساندرو","599000000","1396","74000"
"آریزو","760000000","1401","0"
"تیگو","1794000000","1401","0"
"ساندرو","643000000","1397","64000"
"اس،","1450000000","1393","110000"
"اریون","1450000000","1388","280000"
"سانتافه","1900000000","1393","78000"
"LX","273000000","1398","60000"
"وی","948000000","1401","0"
"ماکسیما","680000000","1383","200000"
"3","650000000","1387","280000"
"سراتو","1385000000","1394","49000"
"3","850000000","1390","218000"
"ام","1489934592","1395","0"
"ماکان","1189934592","1395","53000"
"IS","1620000000","1389","170000"
"سورنتو","1640000000","1389","192000"
"چهار","430000000","1383","210000"
"کلاس","1300000000","1384","180000"
"سیویک","1300000000","1391","200000"
"S7","1165000000","1401","0"
"تک","376000000","1401","0"
"کاین","694967296","1387","200000"
"کارنز","1820000000","1393","80000"
"پارس","359000000","1399","33000"
"LX","245000000","1394","166800"
"206","195000000","1390","120000"
"2008","1500000000","1398","2000"
"سورنتو","1000000000","1387","220000"
"کمری","1400000000","1392","158000"
"یاریس","550000000","1387","199000"
"206","245000000","1394","140000"
"سانتافه","1850000000","1392","100000"
"توسان","1644967296","1395","40000"
"کاین","910065408","1391","20000"
"فنگ،","420000000","1397","42000"
"پارس","425000000","1397","90000"
"LX","193000000","1390","255000"
"131","149000000","1396","102000"
"ام","2000000000","1387","180000"
"اسپورتیج","1410000000","1390","144000"
"سراتو","1340000000","1394","90000"
"فنگ،","405000000","1396","93000"
"پارس","375000000","1400","26000"
"باکستر","2094967296","1389","93000"
"کلاس","1405032704","1390","44000"
"ام","194967296","1394","87000"
"کلاس","655032704","1387","160000"
"وی","740000000","1401","0"
"تندر","268000000","1390","204000"
"فنگ،","435000000","1396","60000"
"اپتیما","1850000000","1392","49500"
"وی","940000000","1401","0"
"صندوق","88000000","1385","113613"
"سانتافه","1144967296","1395","44000"
"سوناتا","1340000000","1389","145000"
"دنده","248000000","1401","0"
"اسپورتیج","1580000000","1392","130000"
"سانتافه","1694967296","1394","45000"
"دنده","550000000","1401","0"
"جنسیس","1844967296","1391","155000"
"سوناتا","1750000000","1392","143000"
"ام","2044967296","1396","60000"
"ولستر","930000000","1392","146000"
"207","330000000","1389","167000"
"206","320000000","1397","70000"
"پانامرا","1305032704","1390","85000"
"LX","415000000","1400","26000"
"یانگ،","1150000000","1390","158000"
"تالیسمان","2050000000","1395","90000"
"پارس","87000000","1381","300000"
"ایکس","1594967296","1394","48000"
"لندکروز","1289934592","1390","150000"
"لندکروز","1489934592","1389","160000"
"ایکس","804967296","1396","77000"
"جوک","1650000000","1394","53000"
"آزرا","1700000000","1390","160000"
"سراتو","1100000000","1396","72000"
"پرایم","1270000000","1400","8000"
"پرایم","1550000000","1401","0"
"ام","1944967296","1396","53480"
"207","395000000","1396","50000"
"آریزو","1060000000","1400","0"
"تیگو","1100000000","1401","0"
"تیگو","1256000000","1401","0"
"وی","953000000","1401","0"
"تیگو","1790000000","1401","0"
"وی","641000000","1401","0"
"131","148500000","1394","136000"
"جی","315000000","1393","171000"
"XC90","89934592","1395","60000"
"النترا","1100000000","1392","92000"
"H320","440000000","1396","135000"
"کلاس","2050000000","1384","200000"
"سانتافه","1644967296","1394","67000"
"سوناتا","1760000000","1392","150000"
"پرایم","1340000000","1401","2000"
"هایلوکس","294967296","1394","52000"
"سراتو","1053000000","1397","49000"
"فنگ،","440000000","1397","65000"
"سراتو","800000000","1394","160000"
"سورنتو","970000000","1386","213000"
"آزرا","1280000000","1388","144000"
"پارس","545000000","1399","0"
"T5","1250000000","1401","0"
"ام","494967296","1389","146000"
"ساندرو","690000000","1397","25250"
"اپتیما","885000000","1388","163000"
"دبلیو","888000000","1399","50000"
"i20","795000000","1393","115000"
"LX","220000000","1394","182000"
"تیگو","1102000000","1401","0"
"وی","968000000","1401","0"
"2008","1180000000","1397","82000"
"هاچ","195000000","1396","32000"
"پلاس","549000000","1401","0"
"206","150000000","1384","217000"
"اسپورتیج","1910000000","1393","130000"
"کلاس","580000000","1380","290000"
"کلاس","594967296","1391","100000"
"207","458000000","1396","80000"
"207","445000000","1397","100000"
"لنسر","1320000000","1395","59400"
"هایلوکس","1744967296","1392","130000"
"رونیز","920000000","1387","195000"
"هایلوکس","240000000","1392","120000"
"پرادو","344967296","1390","165000"
"405","297000000","1397","110000"
"207","490000000","1397","20000"
"جی،","750000000","1393","122500"
"دنده","540000000","1401","0"
"S5","790000000","1395","57000"
"گراند","710000000","1387","260000"
"206","215000000","1390","260000"
"LX","238000000","1393","102000"
"GS","594967296","1393","130000"
"LX","200000000","1390","235000"
"لندکروز","1089934592","1391","100000"
"وی","115000000","1393","116000"
"جنسیس","1400000000","1391","100000"
"ساندرو","780000000","1397","3400"
"لندکروز","1039934592","1389","204000"
"کرولا","1720000000","1394","92000"
"پلاس","558000000","1401","247"
"کاین","1555032704","1390","88000"
"کلاس","2089934592","1393","28000"
"تالیسمان","2144967296","1396","70000"
"پرایم","1420000000","1401","0"
"النترا","2144967296","1396","60000"
"ام","900000000","1386","220000"
"C5","865000000","1389","304000"
"پرادو","1944967296","1384","137000"
"تونلند","990000000","1401","15000"
"اتوماتیک","605000000","1400","0"
"سانتافه","1094967296","1395","45000"
"توسان","1560000000","1392","90000"
"RX","1605032704","1391","52000"
"ماکسیما","450000000","1383","300000"
"کرولا","1720000000","1393","90000"
"ریو","230000000","1389","172000"
"کلاس","994967296","1387","185000"
"3","1600000000","1398","46000"
"فلوئنس","820000000","1395","47000"
"ام","1889934592","1395","50000"
"NX","55032704","1395","37000"
"جی","430000000","1394","107000"
"النترا","1400000000","1393","90000"
"تالیسمان","2100000000","1395","26000"
"207","545000000","1399","60000"
"ایکس","1544967296","1395","34000"
"سانتافه","2000000000","1393","76000"
"اوتلندر","1544967296","1396","42000"
"ماکسیما","950000000","1388","265000"
"111","175000000","1398","75000"
"سانتافه","1630000000","1392","140000"
"ام","194967296","1390","102390"
"سوناتا","944967296","1396","62000"
"گراند","615000000","1387","255000"
"سراتو","990000000","1396","68000"
"صندوق","160000000","1395","205000"
"2008","1500000000","1398","1200"
"LX","278000000","1398","60000"
"i30","800000000","1389","101000"
"پانامرا","1405032704","1389","72000"
"پارس","540000000","1399","0"
"ام","205032704","1395","98000"
"i20","1100000000","1396","44000"
"توسان","1944967296","1395","75000"
"پارس","450000000","1397","90000"
"فنگ،","445000000","1396","93000"
"پارس","575000000","1399","0"
"راوفور","1794967296","1392","105000"
"جوک","1290000000","1394","123000"
"کلاس","1094967296","1391","98000"
"زانتیا","450000000","1389","125000"
"S5","900000000","1400","36000"
"2008","1400000000","1398","50000"
"هایلوکس","5032704","1394","65000"
"CHR","1744967296","1396","43000"
"توسان","1394967296","1395","0"
"سورنتو","744967296","1395","19000"
"LX","238000000","1395","113000"
"کمری","799000000","1384","120000"
"C35","520000000","1401","0"
"آسترا","1800000000","1392","140000"
"لندکروز","789934592","1390","110000"
"ام","1980000000","1386","74000"
"سی","180000000","1388","260000"
"ام","294967296","1392","100000"
"اپتیما","1280000000","1392","150000"
"سراتو","670000000","1393","130000"
"206","103000000","1382","260000"
"هایلوکس","1150000000","1384","300000"
"111","168000000","1396","33000"
"ام","1444967296","1392","100000"
"کلاس","1939934592","1393","18000"
"اریون","1200000000","1388","260000"
"النترا","2100000000","1396","24000"
"V40","1900000000","1392","89000"
"ام","1700000000","1385","240000"
"ماکسیما","680000000","1385","264000"
"لندکروز","1589934592","1388","125000"
"مورانو","880000000","1386","220000"
"اپیروس","850000000","1387","200000"
"پرایم","1290000000","1401","0"
"جی،","1250000000","1393","205000"
"اپتیما","1350000000","1391","145000"
"207","352000000","1397","95000"
"توندرا","1205032704","1391","25000"
"911","2089934592","1389","50000"
"یانگ،","1780000000","1396","34000"
"جی،","785000000","1393","88000"
"111","180000000","1397","50000"
"NX","294967296","1393","128000"
"تالیسمان","1950000000","1395","100000"
"کلاس","1594967296","1390","95000"
"ریچ","530000000","1394","155000"
"کلاس","2000000000","1387","200000"
"وی","200000000","1393","94000"
"اپتیما","1760000000","1392","150000"
"207","430000000","1396","68000"
"وای","815000000","1397","60000"
"کلاس","905032704","1387","86000"
"207","463000000","1398","68000"
"جی،","1480000000","1394","94000"
"مگان","430000000","1389","210000"
"کلاس","894967296","1390","139000"
"پانامرا","905032704","1389","92000"
"ام","94967296","1393","87000"
"آریزو","500000000","1396","150000"
"207","540000000","1399","3000"
"XC90","1105032704","1395","170000"
"کلاس","695032704","1393","100000"
"323","190000000","1378","174121"
"کلاس","105032704","1390","100000"
"فنگ،","425000000","1398","43000"
"اپیروس","920000000","1387","182500"
"پریوس","1600000000","1395","50000"
"جی،","500000000","1390","200000"
"سانتافه","1844967296","1394","56000"
"دوگانه","149500000","1395","255000"
"سول","950000000","1391","155000"
"بیتل","1850000000","1391","110000"
"جوک","1650000000","1395","38000"
"سوناتا","830000000","1387","186000"
"لندکروز","905032704","1387","180000"
"LX","210000000","1395","220000"
"تیگوان","714967296","1396","92000"
"گراند","1170000000","1395","117000"
"پرایم","1380000000","1401","3000"
"تندر","415000000","1395","102000"
"آزرا","890000000","1386","390000"
"ام","704967296","1394","69000"
"جوک","1600000000","1395","70000"
"پرایم","1410000000","1401","0"
"پارس","206500000","1391","295000"
"207","433000000","1400","10800"
"ساندرو","730000000","1398","23000"
"راوفور","1194967296","1393","58000"
"S5","990000000","1400","23000"
"LX","200000000","1392","155000"
"سوناتا","1770000000","1392","99000"
"لنسر","870000000","1392","150000"
"ام","705032704","1394","58000"
"لندکروز","89934592","1390","113000"
"لندکروز","589934592","1389","147000"
"توسان","1694967296","1395","50000"
"i20","998000000","1396","100000"
"اتوماتیک","675000000","1401","0"
"LX","250000000","1392","70000"
"3","1580000000","1398","65000"
"توسان","1600000000","1392","150000"
"ام","1550000000","1401","11000"
"اسپورتیج","1500000000","1391","130000"
"آزرا","870000000","1387","280000"
"راوفور","1294967296","1393","97000"
"جی،","680000000","1397","85000"
"جی،","640000000","1397","105000"
"هایلوکس","1080000000","1384","290000"
"پاترول","330000000","1378","280000"
"B30","599000000","1398","89000"
"کلاس","1650000000","1386","200000"
"النترا","1944967296","1396","5500"
"وی","595000000","1399","1500"
"S7","1160000000","1401","0"
"لنسر","1260000000","1395","95000"
"3","930000000","1389","140000"
"IS","844967296","1393","138000"
"سراتو","1300000000","1397","14700"
"206","335000000","1397","68000"
"زانتیا","230000000","1385","350000"
"کادنزا","1480000000","1389","280000"
"پرادو","1864967296","1385","164000"
"سانتافه","2100000000","1393","110000"
"تندر","330000000","1394","127000"
"دوگانه","225000000","1399","45000"
"اپتیما","1400000000","1390","106000"
"گراند","598000000","1384","173000"
"پاترول","250000000","1376","300000"
"النترا","2050000000","1395","68000"
"جن","268000000","1385","175000"
"سراتو","985000000","1396","115000"
"LX","310000000","1399","18000"
"سورنتو","1894967296","1393","128000"
"ام","920000000","1387","176000"
"207","400000000","1396","59000"
"پرادو","2144967296","1385","180000"
"کارناوال","850000000","1386","250000"
"وکترا","175000000","1995","252000"
"مورانو","1450000000","1390","148000"
"کلاس","1944967296","1384","170000"
"مگان","310000000","1388","400000"
"H320","540000000","1397","65000"
"اپتیما","1740000000","1392","150000"
"ام","1800000000","1392","138000"
"ساندرو","588000000","1396","46000"
"لندکروز","789934592","1390","250000"
"206","285000000","1394","60000"
"ام","905032704","1394","52000"
"S5","750000000","1395","140000"
"توسان","2054967296","1395","75000"
"لندکروز","1905032704","1388","200000"
"LX","248000000","1394","220000"
"207","463000000","1397","82000"
"207","485000000","1397","74000"
"کمری","2100000000","1392","159000"
"رنجرور","400000000","1978","500000"
"کلاس","1605032704","1387","170000"
"206","280000000","1396","86000"
"کلاس","5032704","1385","150000"
"S7","1135000000","1401","0"
"سانتافه","894967296","1395","23000"
"2008","1030000000","1398","55000"
"جی","490000000","1399","20000"
"3","1380000000","1396","85000"
"ام","824967296","1392","80000"
"صندوق","220000000","1399","41000"
"تندر","460000000","1396","88000"
"جولیتا","1215000000","1393","120000"
"جی","435000000","1394","85000"
"مگان","495000000","1391","187000"
"توسان","1780000000","1393","87000"
"جی،","1550000000","1394","132000"
"ساندرو","568000000","1396","44000"
"206","370000000","1398","24000"
"صندوق","108000000","1387","210000"
"زانتیا","360000000","1388","250000"
"S5","780000000","1396","110000"
"LX","310000000","1399","48000"
"207","655000000","1400","20000"
"کپچر","999000000","1395","120000"
"وای","440000000","1397","58000"
"NX","805032704","1395","76000"
"ریو","170000000","1386","297000"
"ولستر","950000000","1394","105000"
"پلاس","580000000","1401","0"
"گالانت","150000000","1992","300000"
"توسان","1694967296","1395","650000"
"لنسر","820000000","1392","130000"
"النترا","1190000000","1392","159000"
"سانتافه","1800000000","1390","105000"
"جی","400000000","1394","93000"
"اسپورتیج","1900000000","1393","82000"
"کپچر","900000000","1395","100000"
"سانتافه","1644967296","1394","110000"
"پرایم","1490000000","1401","0"
"ام","489934592","1395","48000"
"پارس","187000000","1391","191000"
"LX","210000000","1392","216000"
"کلاس","1244967296","1392","100000"
"2008","1540000000","1398","21000"
"سراتو","1120000000","1396","41000"
"رونیز","950000000","1388","306000"
"ES","1550000000","1386","250000"
"206","260000000","1393","154000"
"پلاس","600000000","1401","12000"
"پرادو","55032704","1391","210000"
"سورنتو","1880000000","1389","177000"
"NX","1805032704","1395","7500"
"کلاس","1705032704","1388","178000"
"2","705000000","1400","16000"
"X60","495000000","1395","62800"
"405","125000000","1390","220000"
"سوناتا","630000000","1384","180000"
"ماکسیما","970000000","1389","223000"
"کلاس","894967296","1392","30000"
"2008","1520000000","1398","29000"
"سراتو","1600000000","1394","100000"
"تالیسمان","2120000000","1395","89000"
"3","1340000000","1396","117000"
"پارس","415000000","1401","0"
"206","385000000","1398","61000"
"دنده","257000000","1401","6700"
"ساندرو","970000000","1398","0"
"آزرا","1280000000","1388","150000"
"آزرا","1894967296","1392","99000"
"سراتو","1050000000","1396","75000"
"لندکروز","589934592","1391","100000"
"سانتافه","2124967296","1393","110000"
"وی","182000000","1392","118000"
"فنگ،","420000000","1396","72000"
"تیگوان","644967296","1396","100000"
